sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
2023-02-21,2/21/23,dow-015-dow-uap-d19-mission-report-syria-february-21-2023,pdf,DoW,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-03-31,3/31/23,dow-016-dow-uap-d20-mission-report-iraq-2023,pdf,DoW,"DOW-UAP-D20, Mission Report, Iraq, 2023",Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-09-01,9/1/23,fbi-054-fbi-september-2023-sighting-composite-sketch,pdf,FBI,FBI September 2023 Sighting - Composite Sketch,United States,Actual site photo with FBI Lab rendered graphic overlay depicting corroborating eyewitness reports from September 2023 of an apparent ellipsoid bronze metallic object materializing out of a bright lig
2023-09-01,9/1/23,fbi-055-fbi-september-2023-sighting-serial-3,pdf,FBI,FBI September 2023 Sighting - Serial 3,United States,"This is an FBI 302 interview conducted with a US citizen regarding their first-hand account of a UAP encounter at a US test site.  USPER described an object ""metallic bronze in color."""
2023-09-01,9/1/23,fbi-056-fbi-september-2023-sighting-serial-4,pdf,FBI,FBI September 2023 Sighting - Serial 4,United States,"This is an FBI 302 interview conducted with a US citizen regarding their first-hand account of a UAP encounter at a US test site. USPER described an object ""metallic/gray in color."""
2023-09-01,9/1/23,fbi-057-fbi-september-2023-sighting-serial-5,pdf,FBI,FBI September 2023 Sighting - Serial 5,United States,"This is an FBI 302 interview conducted with a US citizen regarding their first-hand account of a UAP encounter at a US test site. USPER described a ""bright light over the horizon."""
2023-10-27,10/27/23,dow-026-dow-uap-d33-mission-report-greece-october-2023,pdf,DoW,"DOW-UAP-D33, Mission Report, Greece, October 2023",Aegean Sea,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-10-29,10/29/23,dow-027-dow-uap-d35-mission-report-greece-october-2023,pdf,DoW,"DOW-UAP-D35, Mission Report, Greece, October 2023",Aegean Sea,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-10-31,10/31/23,dow-017-dow-uap-d23-mission-report-united-arab-emirates-october-2023,pdf,DoW,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",Persian Gulf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-10-31,10/31/23,dow-018-dow-uap-d23-mission-report-united-arab-emirates-october-2023,pdf,DoW,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",Persian Gulf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-11-09,11/9/23,dow-051-dow-uap-d74-mission-report-syria-november-2023,pdf,DoW,"DOW-UAP-D74, Mission Report, Syria, November 2023",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-01-25,1/25/24,dow-019-dow-uap-d25-mission-report-greece-january-2024,pdf,DoW,"DOW-UAP-D25, Mission Report, Greece, January 2024",Mediterranean Sea,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-06-07,6/7/24,dow-020-dow-uap-d27-mission-report-united-arab-emirates-october-2023,pdf,DoW,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",Gulf of Oman,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-07-14,7/14/24,dow-052-dow-uap-d75-mission-report-gulf-of-aden-july-2024,pdf,DoW,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Gulf of Aden,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-09-20,9/20/24,dow-021-dow-uap-d28-mission-report-iraq-september-2024,pdf,DoW,"DOW-UAP-D28, Mission Report, Iraq, September 2024",Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-10-20,10/20/24,dow-023-dow-uap-d32-mission-report-syria-october-2024,pdf,DoW,"DOW-UAP-D32, Mission Report, Syria, October 2024",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-10-20,10/20/24,dow-024-dow-uap-d32-mission-report-syria-october-2024,pdf,DoW,"DOW-UAP-D32, Mission Report, Syria, October 2024",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-10-20,10/20/24,dow-025-dow-uap-d32-mission-report-syria-october-2024,pdf,DoW,"DOW-UAP-D32, Mission Report, Syria, October 2024",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2024-10-31,10/31/24,dow-037-dow-uap-d52-email-correspondance-na-august-2024,pdf,DoW,"DOW-UAP-D52, Email Correspondance, NA, August 2024",N/A,This document is email correspondence describing the content of a mission report and requesting clarification on its content. All descriptive and estimative language contained in this report reflects 
2025-01-01,4/10/2025-4/11/2025,dow-035-dow-uap-d50-email-correspondence-indopacom-april-2025,pdf,DoW,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",N/A,This document is email correspondence describing the content of a mission report and requesting clarification on its content. All descriptive and estimative language contained in this report reflects 
2025-01-01,Late 2025,fbi-021-fbi-photo-a1,image,FBI,FBI Photo A1,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-022-fbi-photo-a2,image,FBI,FBI Photo A2,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-023-fbi-photo-a3,image,FBI,FBI Photo A3,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-024-fbi-photo-a4,image,FBI,FBI Photo A4,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-025-fbi-photo-a5,image,FBI,FBI Photo A5,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-026-fbi-photo-a6,image,FBI,FBI Photo A6,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-027-fbi-photo-a7,image,FBI,FBI Photo A7,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-028-fbi-photo-a8,image,FBI,FBI Photo A8,N/A,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-029-fbi-photo-b1,pdf,FBI,FBI Photo B1,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-030-fbi-photo-b10,pdf,FBI,FBI Photo B10,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-031-fbi-photo-b11,pdf,FBI,FBI Photo B11,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-032-fbi-photo-b12,pdf,FBI,FBI Photo B12,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-033-fbi-photo-b13,pdf,FBI,FBI Photo B13,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-034-fbi-photo-b14,pdf,FBI,FBI Photo B14,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
